full_text,sentiment,created_at,tweet_id
"""Make Twitter Great Again"".  Trump already did that!  What are you talking about?  #Trump #GOP #TruthSocial #truth #TruthSocialApp https://t.co/YIXa7ntfDB",0.6445552,2022-04-05 22:27:57,1511470727467307012
"Freudian Slip- the truth , Obama’s third term he admitted he’d love to do as a shadow president - ON VIDEO. #biden #obama #obummer #joebiden #whitehouse #whosrunningtheshow #embarrassing https://t.co/r4EAWCwOT6",0.44992465,2022-04-05 22:28:28,1511470855582146568
"@bennyjohnson Do you suppose he finally knows now?

People flock to Obama, ignore Joe

#biden #joebiden #obama #barackobama 

https://t.co/rRAw0jUR5e",0.32560852,2022-04-05 22:28:41,1511470909239922688
Biden’s DHS Secretary Met Behind Doors With Republicans. Here’s What Was Said | The Daily Caller #Biden #DHS #Mayorkas  https://t.co/tLMUqQ9R0r,0.32064018,2022-04-05 22:28:58,1511470982074052608
"Tell #ElonMusk stay out of Twitter.

America doesn’t want #Trump back on social media.

Stand up to him now or deal with #Twitter as a mouthpiece for right wing lies &amp; propaganda.",0.3451448,2022-04-05 22:29:37,1511471143663808513
"Most people?
Like on earth ?
Because  millions love 
#BestPresidentEver
#Trump .
I do, and I stand by him.
He was elected twice!",0.34738773,2022-04-05 22:29:38,1511471149590401031
@TheresaAFallon yes &amp; the 🇺🇲🇬🇧 have not kept their word from 1994 given to #Ukraine. I'm sure they are all trying their best to ignore that only the deconfliction line @NATO RUS is working &amp; a deal is inevitable. Bets are #Biden will f**** up the deal to please 🇨🇳  @peterschweizer @TuckerCarlson,0.36531377,2022-04-05 22:29:43,1511471170767491074
"Ironical to say that the #US is not a state party to the Rome Statute. The US participated in the negotiations that led to the creation of the court. However, in 1998 the US was one of only seven countries that voted against it. Now #Biden, on behalf of #USA wants a voice? hmm",0.38349313,2022-04-05 22:30:01,1511471246327832580
President #Biden recommends major budget spend towards US fire safety... https://t.co/dnzIBO3OmX #firerescue #firefighters #firedetection #firesafety #firefighting #fireprevention #fireproducts #wildfires #wildfiresafety,0.4599396,2022-04-05 22:30:07,1511471269501456392
They have to wander the social network wasteland for 40 years until Trump brings their commandments down from the server. 😂🤣🤣😂 #Christian #TruthSocial #rumble #mewe #parler #socialnetwork #twitter #gop #trump,0.5253369,2022-04-05 22:30:07,1511471270000484360
"Extremely sad to watch. 
It’s no longer funny anymore. 
This is a poor old man. Deep down he knows.. even they know he isn’t fit to be running the country. #BidenWorstPresidentEver #Biden #BidenHarris #BidenAdministration",0.28736,2022-04-05 22:30:34,1511471384421142531
"The man whose CHIEF JOB it is to protect the United States citizens, and to run the entire government,  CANNOT  find his way out of the room he is in at any given moment!!
😱

#TrumpWasRightAboutEverything 
#25thAmendment 
#BringBackTrump 
#JillBiden
#BidenBorderCrisis 
#Trump",0.44227424,2022-04-05 22:30:38,1511471400888016900
"This is #literally and #figuratively #america now. Even though #biden had to pick up the mess of #Trump, he's at least trying. https://t.co/47GGL2tp7u",0.5765485,2022-04-05 22:30:42,1511471418369748992
We cannot have this happen again. The #USA was almost destroyed by overwhelming #greed and childish #ego. #America #trump #maga @foxnews #foxnews @CNN #MSNBC #RepublicansAreDestroyingAmerica #republican #republicans #magacult #TrumpIsACriminal #VoteBlueIn2022 #VotingRights,0.28846326,2022-04-05 22:31:05,1511471514113171457
"@RealDonaldTrump #joke : 'If horses are measured in hands, Donald Trump must have the biggest horses in the world.' #Trump #MAGA #RacistInChief #RapistInChief https://t.co/IQjUaPn80O",0.4325222,2022-04-05 22:31:09,1511471530680717317
@madcochairman sad to see commercial for #Congress. Have met you &amp; thought you were a moderate &amp; then it is #trump @aoc #conservativevalues #radicalleft blah blah. Told my wife you wouldn’t go there because you were reasonable and had name rec so u didn’t have to. Wrong.,0.26417565,2022-04-05 22:31:38,1511471652969791490
"My take is that Jared and #IvankaTrump are throwing Peter Navarro and Dan Scovino under the bus in order to protect the ""smart businessman,"" yet ""manipulated"" #Trump, and to protect their own asses.",0.32418728,2022-04-05 22:31:46,1511471685718867970
"@POTUS So should be our freedoms!!! Freedom Of Speech, our First Amendment, and the right to choose a FAIR and LEGAL government to name a few!
#TrumpWasRightAboutEverything 
#Biden is a cheat and I will NEVER support him! #BidenWorstPresidentEver #BidenIsADisgrace",0.41510445,2022-04-05 22:31:55,1511471722200907778
@cnni The Republicans still dare to attend to #Russia y #Trump they kneel to the RUSSIAN Flag. 🇺🇸🇬🇧🇩🇪🇪🇺#USA Freedom and democracy will pravail over the #Putin Dictator and madman,0.36278087,2022-04-05 22:32:05,1511471765976875008
